date_time;filename;git_hash;lines_html;size_html;size2_html;lines_typescript;size_typescript;size2_javascript;lines_css;size_css;size2_css;size2_zip
2022-09-03 00:56:18;js13k2022_20220903_005618.zip;1f5e4e7f1ee2df06c9375ab58e717bb7a1070dca;49;1735;1137;576;11759;4892;248;18585;18255;11876
2022-09-03 02:38:48;js13k2022_20220903_023848.zip;4401d59cbd3d4b650b15c00f113ef135ca87d61f;50;1780;1137;611;13406;5857;246;2321;2003;3774
2022-09-03 02:50:52;js13k2022_20220903_025052.zip;0ead7ad3648e0539a7d667e1e56c29623c5fa840;50;1780;1137;611;13396;5847;247;2315;1998;3782
2022-09-04 02:26:29;js13k2022_20220904_022629.zip;296ccc3827f290979fca4bc1565d48bd0d766774;50;1801;1112;665;15454;6949;261;2527;2188;4381
2022-09-04 02:38:58;js13k2022_20220904_023858.zip;5e0ec2775f6171f7b9258450bd0a3e916769e7bb;50;1801;1112;666;15280;6730;261;2625;2286;4239
2022-09-04 04:54:23;js13k2022_20220904_045423.zip;af8ed307e15b3e1aac70a2de142fbbeac40b240b;50;1801;1112;682;15988;7152;265;2660;2319;4447
2022-09-04 16:43:54;js13k2022_20220904_164354.zip;f425d303157b998512a8b78f8776f3ca219bce83;51;1847;1112;900;21243;8809;262;2575;2238;5088
2022-09-05 00:14:28;js13k2022_20220905_001428.zip;4c882e9ac4c25134ebf78211b13f5945b1f5c692;54;1927;1112;968;23325;9341;282;2720;2361;5442
2022-09-05 00:49:18;js13k2022_20220905_004918.zip;ff949cebbfea6dc503d54d60c20d2ef79c5238cf;55;1979;1112;1000;24178;9593;282;2720;2361;5520
2022-09-05 02:11:31;js13k2022_20220905_021131.zip;19ed185d2dabdb25134b9e4c03ab2817f37bd9ee;55;1979;1112;1068;25626;10164;291;2832;2461;5741
2022-09-05 02:28:03;js13k2022_20220905_022803.zip;d72c18fa4b6573e6f72abe3229fbb5c6ee2ba219;55;1979;1112;1068;25775;10174;222;2124;1854;5584
2022-09-05 02:43:41;js13k2022_20220905_024340.zip;e7e84ba4f96181b901e952f1c3787d5580d63707;55;1979;1112;1094;27088;10636;230;2307;2026;5701
2022-09-05 03:19:51;js13k2022_20220905_031951.zip;912e811603c17d8ae9f4edf10adbb8d99bfab335;55;1979;1112;1133;28362;10769;240;2434;2137;5833
2022-09-05 03:46:01;js13k2022_20220905_034601.zip;738b7b905a932dbd31066e6525136eaa137b7015;55;1979;1141;1133;28362;10769;240;2434;2137;5838
2022-09-05 18:20:15;js13k2022_20220905_182015.zip;27c133311e0bf38263d8f4b7fdb14c49686971e5;58;2135;1141;1307;32715;12476;254;2757;2448;6415
2022-09-06 22:22:31;js13k2022_20220906_222231.zip;ff402873578b52c7d5f33b1f840d19f37e0a9f9c;77;2650;1599;1359;33463;12904;311;3320;2934;6946
2022-09-07 01:50:14;js13k2022_20220907_015014.zip;9fe258d7fd82ae311c644ad06829f4cdcf3644c2;80;2824;1615;1582;39788;14697;311;3320;2934;7662
2022-09-07 01:53:23;js13k2022_20220907_015323.zip;642497dfa2de7427ee039cc83f8031bfe8521edd;68;2518;1342;1582;39788;14697;311;3320;2934;7571
